dist Flam = 28.861740, tpl = 399.624817, td = 543.125244
dist Koyot = 29.410883, tpl = 399.080200, td = 23.021729
dist .LeitWolf' = 0.000000, tpl = 331.182739, td = 183.412109
dist I am noby = 24.698177, tpl = 382.602936, td = 46.669048
dist Koyot = 29.410883, tpl = 399.310669, td = 789.912048
dist I am noby = 24.698177, tpl = 161.483749, td = 34.985710
dist HARIBO = 29.832869, tpl = 123.967735, td = 40.162170
dist HARIBO = 28.231188, tpl = 124.064499, td = 3.000000
dist daverck = 34.365681, tpl = 308.702118, td = 50.219517
dist .LeitWolf' = 0.000000, tpl = 391.563538, td = 26.627054
dist .LeitWolf' = 0.000000, tpl = 266.430115, td = 270.748962
dist Redx73 = 0.000000, tpl = 49.000000, td = 49.000000
dist daverck = 23.706539, tpl = 339.911743, td = 3.162278
dist Redx73 = 34.205261, tpl = 49.244289, td = 49.244289
dist daverck = 6.000000, tpl = 399.155365, td = 122.641754
dist Flam = 35.777088, tpl = 399.696136, td = 280.408630
dist HARIBO = 23.769728, tpl = 124.919975, td = 97.514099
dist Flam = 28.000000, tpl = 399.164124, td = 283.423706
dist .LeitWolf' = 13.038404, tpl = 181.430420, td = 178.731644
dist I am noby = 30.083218, tpl = 595.221802, td = 170.061752
dist :Ram = 9.219544, tpl = 399.430847, td = 232.658554
dist HARIBO = 19.798990, tpl = 124.084648, td = 93.920181
dist I am noby = 36.496574, tpl = 193.620758, td = 203.686035
dist Redx73 = 18.248287, tpl = 49.030602, td = 49.030602
dist I am noby = 35.341194, tpl = 303.990143, td = 0.000000
dist .LeitWolf' = 32.015621, tpl = 206.903366, td = 111.485428
dist Flam = 18.867962, tpl = 398.949860, td = 116.828934
dist Redx73 = 34.176014, tpl = 49.396355, td = 49.396355
dist Redx73 = 32.449963, tpl = 49.091751, td = 49.091751
dist Inļ🂱kech = 21.400934, tpl = 399.249298, td = 171.172424
dist Koyot = 24.596748, tpl = 398.829529, td = 754.066284
dist Koyot = 25.079872, tpl = 398.923553, td = 399.450867
dist Koyot = 25.079872, tpl = 399.020050, td = 791.427185
dist Flam = 35.057095, tpl = 399.145325, td = 394.932892
dist .LeitWolf' = 0.000000, tpl = 483.456299, td = 39.319206
dist I am noby = 0.000000, tpl = 311.623169, td = 273.248962
dist Redx73 = 26.627054, tpl = 49.648766, td = 49.648766
dist :Ram = 14.142136, tpl = 399.362000, td = 230.488617
dist I am noby = 22.847319, tpl = 550.717712, td = 142.270874
dist Flam = 8.944272, tpl = 399.430847, td = 39.560081
dist Koyot = 36.400551, tpl = 399.656097, td = 766.030029
dist Flam = 24.083189, tpl = 399.200439, td = 356.609039
dist Flam = 24.083189, tpl = 386.846222, td = 7.071068
dist .LeitWolf' = 0.000000, tpl = 294.159821, td = 13.000000
dist Koyot = 36.400551, tpl = 399.320679, td = 543.033142
dist HARIBO = 29.000000, tpl = 499.631866, td = 341.774780
dist HARIBO = 30.149628, tpl = 124.523087, td = 25.806976
dist I am noby = 0.000000, tpl = 632.344849, td = 19.235384
dist HARIBO = 4.472136, tpl = 124.775803, td = 31.622776
dist Koyot = 26.076809, tpl = 398.810730, td = 787.970154
dist HARIBO = 4.472136, tpl = 498.912811, td = 45.891174
dist HARIBO = 30.594116, tpl = 124.197426, td = 190.800949
dist Koyot = 24.020824, tpl = 399.722412, td = 358.611206
dist I am noby = 31.890438, tpl = 632.576477, td = 83.862984
dist Koyot = 26.400757, tpl = 398.983704, td = 671.109558
dist HARIBO = 0.000000, tpl = 124.779808, td = 16.031219
dist Sasuke = 28.460499, tpl = 61.269894, td = 172.351379
dist Flam = 0.000000, tpl = 399.321930, td = 468.412201
dist HARIBO = 0.000000, tpl = 124.342270, td = 5.830952
dist Koyot = 26.400757, tpl = 399.372009, td = 158.518143
dist Flam = 0.000000, tpl = 399.844971, td = 279.001801
dist HARIBO = 0.000000, tpl = 124.257797, td = 95.692215
dist :Ram = 29.000000, tpl = 398.810730, td = 83.600243
dist HARIBO = 34.481880, tpl = 124.004036, td = 41.593269
dist Flam = 36.359318, tpl = 399.231750, td = 591.084595
dist Sasuke = 6.403124, tpl = 399.545990, td = 227.668625
dist Sasuke = 30.870699, tpl = 399.439606, td = 459.883667
dist :Ram = 20.615528, tpl = 398.983704, td = 300.000000
dist HARIBO = 17.117243, tpl = 124.354332, td = 248.294174
dist Xandra = 30.886890, tpl = 363.496918, td = 82.565125
dist I am noby = 19.209373, tpl = 292.035950, td = 9.486833
dist Flam = 36.359318, tpl = 318.692627, td = 134.372620
dist An0dreX = 0.000000, tpl = 527.622986, td = 8.000000
dist Koyot = 29.068884, tpl = 379.332306, td = 14.317822
dist Koyot = 29.068884, tpl = 399.370758, td = 682.534241
dist Xandra = 28.178005, tpl = 399.281860, td = 94.429871
dist Sasuke = 25.495098, tpl = 399.040100, td = 216.520203
dist Sasuke = 22.472204, tpl = 399.952484, td = 696.000000
dist I am noby = 34.205261, tpl = 204.284119, td = 194.794769
dist Sasuke = 21.023796, tpl = 399.696136, td = 438.731140
dist Redx73 = 0.000000, tpl = 48.877399, td = 48.877399
dist HARIBO = 29.832869, tpl = 124.197426, td = 9.219544
dist An0dreX = 0.000000, tpl = 602.847412, td = 48.662102
dist Sasuke = 21.023796, tpl = 398.943604, td = 108.245094
dist Cul-de-jatte = 0.000000, tpl = 279.580048, td = 228.589157
dist Koyot = 37.483330, tpl = 399.449615, td = 272.800293
dist An0dreX = 18.027756, tpl = 273.484924, td = 111.287918
dist An0dreX = 22.825424, tpl = 632.026123, td = 11.313708
dist Redx73 = 0.000000, tpl = 49.091751, td = 49.091751
dist :Ram = 29.529646, tpl = 399.061401, td = 622.268433
dist Flam = 0.000000, tpl = 399.906250, td = 169.955872
dist :Ram = 19.798990, tpl = 399.211731, td = 433.756836
dist Cul-de-jatte = 12.206555, tpl = 279.732025, td = 64.884514
dist Inļ🂱kech = 0.000000, tpl = 399.104004, td = 122.800652
dist An0dreX = 30.870699, tpl = 633.007080, td = 61.846584
dist Xandra = 36.496574, tpl = 399.011292, td = 39.000000
dist An0dreX = 30.870699, tpl = 633.028442, td = 41.773197
dist HARIBO = 32.015621, tpl = 499.124237, td = 19.104973
dist HARIBO = 31.016125, tpl = 123.846680, td = 44.294468
dist Koyot = 13.038404, tpl = 399.211731, td = 607.810852
